,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean,day_count,vol_up,vol_down,vol_sum
319,319,300253,卫宁健康,软件服务,上海,215.82,58843.19,81242.93,259926.02,154031.47,2241.9,92937.63,1.14,0.027,2.28,10.32,20110818,3.24507115827,240.0,115.0,123.0,51.2967776796
1426,1426,2056,横店东磁,元器件,浙江,32.69,82163.28,82180.0,522806.0,322351.0,158035.36,144280.23,1.76,0.116,4.44,3.42,20060802,3.24048001172,244.0,102.0,141.0,66.3863473132
216,216,600185,格力地产,区域地产,广东,23.42,161751.95,205999.75,2094026.0,1989127.25,20186.47,-37967.51,-0.18,0.075,2.51,2.81,19990611,3.23989761445,244.0,114.0,128.0,195.016471779
2367,2367,600219,南山铝业,铝,山东,80.69,283518.44,283518.44,3468779.5,1034306.13,1255569.25,1427376.25,5.03,0.026,8.39,0.99,19991223,3.23943946011,150.0,73.0,73.0,141.711668576
2296,2296,601137,博威合金,铜,浙江,55.05,43000.0,43000.0,277590.0,129881.8,90675.5,116153.88,2.7,0.115,4.81,2.62,20110127,3.23908158855,195.0,90.0,102.0,56.9805799214
2519,2519,300393,中来股份,塑料,江苏,40.06,7691.04,17923.5,191138.72,109665.56,27919.91,33471.5,1.87,0.453,4.91,7.39,20140912,3.23892894777,240.0,111.0,128.0,24.984302475
690,690,2112,三变科技,电气设备,浙江,1048.89,18115.81,20160.0,144469.0,106018.67,21799.1,6915.07,0.34,0.004,2.41,7.52,20070208,3.23825367884,55.0,26.0,27.0,18.7486090621
1684,1684,600288,大恒科技,软件服务,北京,0.0,43680.0,43680.0,295984.66,192738.86,37247.23,18708.6,0.43,-0.048,3.36,4.01,20001129,3.23397862276,243.0,113.0,130.0,15.9724721064
2307,2307,2426,胜利精密,元器件,江苏,40.23,158983.34,290612.34,1215813.38,628295.94,174656.73,307415.59,1.06,0.066,1.79,5.96,20100608,3.23214784716,199.0,96.0,102.0,139.203545288
1673,1673,2437,誉衡药业,化学制药,黑龙江,29.94,212899.59,219829.03,814900.19,172170.67,157947.77,106186.61,0.48,0.069,1.62,5.13,20100623,3.23139015219,228.0,112.0,116.0,205.448292459
404,404,600783,鲁信创投,矿物制品,山东,107.52,74435.92,74435.92,522543.31,102908.99,9516.91,111167.11,1.49,0.055,4.57,5.12,19961225,3.22321970477,243.0,106.0,137.0,4.1895369272
2409,2409,600562,国睿科技,通信设备,江苏,174.78,32764.58,47873.12,175739.77,158239.52,12880.0,2133.63,0.04,0.049,2.15,16.0,20030128,3.22223331299,244.0,116.0,127.0,43.0411303087
1044,1044,8,神州高铁,运输设备,北京,573.31,149759.0,275770.94,679450.31,309267.44,43970.44,263258.78,0.95,0.004,2.03,4.75,19920507,3.2220543003,236.0,109.0,121.0,183.882299902
2545,2545,300429,强力新材,化工原料,江苏,119.4,3197.75,8296.32,67300.92,30604.3,19900.97,29792.47,3.59,0.28,7.83,17.05,20150324,3.21957707487,203.0,102.0,100.0,4.07440001701
1334,1334,2156,通富微电,半导体,江苏,91.73,97242.5,97263.0,702779.81,319285.63,267186.22,225065.27,2.31,0.032,3.88,3.02,20070816,3.21936871755,213.0,100.0,112.0,50.1859880582
2221,2221,833,贵糖股份,造纸,广西,0.0,29606.53,66840.18,335465.34,146567.47,79971.13,134248.77,2.01,-0.009,3.94,3.01,19981111,3.21740360572,179.0,78.0,99.0,0.996564313832
930,930,603729,龙韵股份,广告包装,上海,0.0,3610.0,6667.0,111453.8,95918.5,7922.96,45691.78,6.85,-0.064,14.57,4.97,20150324,3.2162346145,244.0,111.0,133.0,35.152910405
2541,2541,2343,慈文传媒,影视音像,浙江,165.49,14704.48,31451.0,289236.66,180775.42,4161.81,11180.3,0.36,0.065,3.44,12.54,20100126,3.21618035685,198.0,101.0,95.0,26.4091748653
1053,1053,600503,华丽家族,区域地产,上海,350.02,156269.06,160229.0,547162.81,388592.75,510.1,119900.1,0.75,0.008,2.27,4.64,20020709,3.21490831196,244.0,111.0,132.0,9.05876705878
900,900,2528,英飞拓,电脑设备,深圳,0.0,66686.14,92514.81,274516.94,137515.81,10824.94,143592.88,1.55,-0.042,2.54,3.28,20101224,3.21206008709,238.0,112.0,122.0,50.7176333835
1980,1980,600806,*ST昆机,机床制造,云南,0.0,39018.62,53108.1,272528.63,169157.44,48909.87,1976.5,0.04,-0.05,1.62,4.33,19940103,3.2097708451,200.0,93.0,101.0,53.8595742751
1336,1336,2129,中环股份,半导体,天津,52.89,229626.02,264423.66,1875999.75,699627.44,659820.38,688379.56,2.6,0.039,3.9,2.12,20070420,3.2067281586,155.0,71.0,81.0,50.7897755543
562,562,2556,辉隆股份,其他商业,安徽,61.56,69778.32,71760.0,586890.75,406643.78,54689.78,104698.4,1.46,0.037,3.03,3.03,20110302,3.20622526978,244.0,111.0,130.0,67.2098873784
2607,2607,2484,江海股份,元器件,江苏,96.66,48992.91,53248.0,207421.88,122306.77,57018.05,68007.13,1.28,0.039,3.19,4.71,20100929,3.2013649391,244.0,110.0,132.0,41.6156567461
822,822,300010,立思辰,软件服务,北京,349.73,43637.69,86475.75,496052.56,161385.98,12957.42,217239.45,2.51,0.014,4.39,4.52,20091030,3.19998969173,188.0,92.0,93.0,56.3817674979
1299,1299,2574,明牌珠宝,服饰,浙江,61.24,52800.0,52800.0,488659.31,359211.72,13047.3,165074.23,3.13,0.053,5.84,2.23,20110422,3.19655485832,165.0,79.0,85.0,60.0195153688
1614,1614,716,黑芝麻,食品,广西,50.35,58388.39,63858.44,299204.16,141750.91,79541.85,121154.8,1.9,0.035,2.76,2.56,19970418,3.19512430887,198.0,94.0,100.0,90.5143194241
